Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Achalaite,Fe2+TiNb2O8,FeTiNb2O8,Ahl,
Brendelite,"(Bi,Pb)2(Fe3+,Fe2+)O2(OH)(PO4)","(Bi,Pb)2(Fe,Fe)O2(OH)(PO4)",Bde,
Briartite,Cu2FeGeS4,Cu2FeGeS4,Btt,
Brinrobertsite,"(Na,K,Ca)0.3(Al,Fe,Mg)4(Si,Al)8O20(OH)4·3.5H2O","(Na,K,Ca)0.3(Al,Fe,Mg)4(Si,Al)8O20(OH)4·3.5H2O",Brb,
Brownmillerite,Ca2Fe3+AlO5,Ca2FeAlO5,Bmlr,
Brugnatellite,Mg6Fe3+(CO3)(OH)13·4H2O,Mg6Fe(CO3)(OH)13·4H2O,Bug,
Brunogeierite,Fe2+2Ge4+O4,Fe2GeO4,Bng,
Bukovskyite,Fe3+2(AsO4)(SO4)(OH)·7H2O,Fe2(AsO4)(SO4)(OH)·7H2O,Buk,
Bulgakite,"Li2(Ca,Na)Fe2+7Ti2(Si4O12)2O2(OH)4(O,F)(H2O)2","Li2(Ca,Na)Fe7Ti2(Si4O12)2O2(OH)4(O,F)(H2O)2",Bgk,
Burangaite,NaFe2+Al5(PO4)4(OH)6·2H2O,NaFeAl5(PO4)4(OH)6·2H2O,Brg,
Burckhardtite,Pb2(Fe3+Te6+)(AlSi3O8)O6,Pb2(FeTe)(AlSi3O8)O6,Bkd,
Buryatite,"Ca3(Si,Fe3+,Al)(SO4)B(OH)4(OH,O)6·12H2O","Ca3(Si,Fe,Al)(SO4)B(OH)4(OH,O)6·12H2O",Buy,
Buseckite,"(Fe,Zn,Mn)S","(Fe,Zn,Mn)S",Bsc,
Bussenite,"Ba4(Na,[box])2(Fe2+,Na)2Ti2(Si2O7)2(CO3)2O2(OH)2(H2O)2F2","Ba4(Na, )2(Fe,Na)2Ti2(Si2O7)2(CO3)2O2(OH)2(H2O)2F2",Bus,
Butlerite,Fe3+(SO4)(OH)·2H2O,Fe(SO4)(OH)·2H2O,Btl,
Cacoxenite,Fe3+24AlO6(PO4)17(OH)12·75H2O,Fe24AlO6(PO4)17(OH)12·75H2O,Cac,
Caesiumpharmacosiderite,CsFe4[(AsO4)3(OH)4]·4H2O,CsFe4[(AsO4)3(OH)4]·4H2O,Cpsd,
Cafarsite,"(Ca,Na,[box])19Ti8Fe3+4Fe2+4(AsO3)28F","(Ca,Na, )19Ti8Fe4Fe4(AsO3)28F",Caf,
Calciocopiapite,CaFe3+4(SO4)6(OH)2·20H2O,CaFe4(SO4)6(OH)2·20H2O,Ccpi,
Calcioferrite,Ca4MgFe3+4(PO4)6(OH)4·12H2O,Ca4MgFe4(PO4)6(OH)4·12H2O,Cfr,
Calciohatertite,NaNaCa(CaFe3+)(AsO4)3,NaNaCa(CaFe)(AsO4)3,,
Calciosamarskite,"(Ca,Fe,Y)(Nb,Ta,Ti)O4","(Ca,Fe,Y)(Nb,Ta,Ti)O4",Csmk,
Calderite,Mn2+3Fe3+2(SiO4)3,Mn3Fe2(SiO4)3,Cdr,
Calderonite,Pb2Fe3+(VO4)2(OH),Pb2Fe(VO4)2(OH),Cdn,
Camaraite,Ba3NaFe2+8Ti4(Si2O7)4O4(OH)4F3,Ba3NaFe8Ti4(Si2O7)4O4(OH)4F3,Cám,
Camaronesite,Fe3+2(PO3OH)2(SO4)(H2O)4·1-2H2O,Fe2(PO3OH)2(SO4)(H2O)4·1-2H2O,Cmr,
Canosioite,Ba2Fe3+(AsO4)2(OH),Ba2Fe(AsO4)2(OH),Cso,
Carboirite,Fe2+Al2GeO5(OH)2,FeAl2GeO5(OH)2,Cb,
Caresite,Fe2+4Al2(OH)12(CO3)·3H2O,Fe4Al2(OH)12(CO3)·3H2O,Cre,
Carlfrancisite,"Mn2+3(Mn2+,Mg,Fe3+,Al)42(As3+O3)2(As5+O4)4[(Si,As5+)O4]6[(As5+,Si)O4]2(OH)42","Mn3(Mn,Mg,Fe,Al)42(AsO3)2(AsO4)4[(Si,As)O4]6[(As,Si)O4]2(OH)42",Cfc,
Carlosturanite,"(Mg,Fe2+,Ti)21(Si,Al)12O28(OH)34·H2O","(Mg,Fe,Ti)21(Si,Al)12O28(OH)34·H2O",Csr,
Carlsonite,(NH4)5Fe3+3O(SO4)6·7H2O,(NH4)5Fe3O(SO4)6·7H2O,Csn,
Carmichaelite,"(Ti,Cr,Fe)(O,OH)2","(Ti,Cr,Fe)(O,OH)2",Cmh,
Carminite,PbFe3+2(AsO4)2(OH)2,PbFe2(AsO4)2(OH)2,Cmt,
Caryochroite,"(Na,Sr)3(Fe3+,Mg)10Ti2Si12O37(H2O,O,OH)17","(Na,Sr)3(Fe,Mg)10Ti2Si12O37(H2O,O,OH)17",Cyh,
Cassagnaite,Ca4Fe3+4V3+2(OH)6O2(Si3O10)(SiO4)2,Ca4Fe4V2(OH)6O2(Si3O10)(SiO4)2,Csg,
Cechite,PbFe2+(VO4)(OH),PbFe(VO4)(OH),Čec,
Celadonite,KMgFe3+Si4O10(OH)2,KMgFeSi4O10(OH)2,Cel,
Cerchiaraite-(Fe),Ba4Fe3+4(Si4O12)O2(OH)4Cl2[Si2O3(OH)4],Ba4Fe4(Si4O12)O2(OH)4Cl2[Si2O3(OH)4],Ccr-Fe,
Cerite-(Ce),"(Ce,La,Ca)9(Mg,Fe3+)(SiO4)3(SiO3OH)4(OH)3","(Ce,La,Ca)9(Mg,Fe)(SiO4)3(SiO3OH)4(OH)3",Crt-Ce,
